simcse,19,83.5245,0.8353,0.8358,0.8352
simcse,20,83.6713,0.8374,0.8357,0.8361
llm,1,87.1932,0.8717,0.8721,0.8718
llm,2,87.0064,0.8703,0.8695,0.8698
llm,3,87.6067,0.8759,0.8764,0.876
llm,4,87.2866,0.8743,0.8741,0.8729
llm,5,87.7668,0.8779,0.8784,0.8776
llm,6,88.0336,0.8801,0.8803,0.8802
llm,7,87.8335,0.8784,0.8779,0.8781
llm,8,88.1804,0.8816,0.8821,0.8817
llm,9,88.1403,0.8812,0.8816,0.8813
llm,10,88.2471,0.8825,0.8831,0.8824
llm,11,87.9669,0.8803,0.8789,0.8793
llm,12,88.0736,0.8812,0.8816,0.8807
llm,13,88.207,0.8825,0.8829,0.8821
llm,14,87.9269,0.88,0.8784,0.8789
llm,15,88.167,0.8825,0.8827,0.8817
llm,16,88.2871,0.884,0.8841,0.8829
llm,17,88.4472,0.8842,0.8845,0.8844
llm,18,88.6073,0.8863,0.8868,0.8861
llm,19,88.1537,0.8828,0.8828,0.8815
llm,20,88.8474,0.8883,0.8885,0.8884
